Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
4081905-902|FRAME ASSY, SUPP. CORE PROC.|AD|Y|AE01|AMS5643|Stainless Steel 321
4091725-101|CHASSIS|D03|Z01|AE01|BMS7-430|Inconel 718 Nickel Alloy
4091725-102|CHASSIS|AU|B|AE01|ABP3-2304|Aluminum Alloy 2024
7022274|SPACER, SWITCH|K|B00|AE01|BMS7-304|Aluminum Alloy 7075
7022888-901|GEAR BOX, ELEVATION|D00|AM|AE01|BMS7-26|Aluminum Alloy 2024
7022889-901|BRACKET, GEAR BOX|G|J|AE01|AMS5662|Inconel 718 Nickel Alloy
7024430-805|BRACKET, CONNECTOR|S|M01|AE01|AMS4928|Titanium Alloy Ti-6Al-4V
7024430-806|BRACKET, CONNECTOR|AR|D00|AE01|BMS7-380|Stainless Steel 15-5PH
7024432-805|BRACKET, CONNECTOR|AU|T01|AE01|AMS5662|Inconel 718 Nickel Alloy
7024435-805|BRACKET, CONNECTOR|AD|J01|AE01|BMS7-26|Aluminum Alloy 2024
7024435-807|BRACKET, CONNECTOR|AV|AM|AE01|BMS7-430|Inconel 718 Nickel Alloy
7024435-808|BRACKET, CONNECTOR|G02|F01|AE01|ABP3-4201|Titanium Alloy Plate
7025390-805|BRACKET, CONNECTOR|AD1|M|AE01|BMS7-430|Inconel 718 Nickel Alloy
7028157-903|BRACKET, SUPPORT|G|AP|AE01|BMS7-304|Aluminum Alloy 7075
7029050-805|BRACKET ASSY, CONNECTOR|B01|AG1|AE01|BMS7-430|Inconel 718 Nickel Alloy
7029788-904|BRACKET, CONNECTOR FAN SIDE|AM|G02|AE01|BMS7-26|Aluminum Alloy 2024
7031341-805|BRACKET, CONNECTOR|AK|J01|AE01|BMS7-304|Aluminum Alloy 7075
7031937|STAND - OFF, KEYED|A00|T|AE01|AMS5643|Stainless Steel 321
7032416|BRACKET, MOUNTING - BACKLIGHT|A|AP|AE01|ABP3-4001|Titanium Alloy Ti-6Al-4V
7032417|BRACKET, MOUNTING - LCD|G02|Y|AE01|BMS7-331|Titanium Alloy 6AL-4V
7035146|JACKSCREW|AD1|AB|AE01|BMS7-304|Aluminum Alloy 7075
7035147|COLLAR|Z|M01|AE01|BMS7-304|Aluminum Alloy 7075
047-50483-0501|HEATSINK, LEFT SIDE|AD2|W|AE02|ABP3-4001|Titanium Alloy Ti-6Al-4V
047-50519-0501|HEATSINK, LEFT SIDE|R|L|AE02|ABP3-4201|Titanium Alloy Plate
047-50520-0501|HEATSINK, RIGHT SIDE|H01|B00|AE02|AMS4928|Titanium Alloy Ti-6Al-4V
047-50547-0501|HEATSINK, RIGHT SIDE|AN|AA|AE02|ABP3-4201|Titanium Alloy Plate
7024396-805|BRACKET, CONNECTOR|B01|B|AE02|ABP3-2101|Aluminum Alloy 7075
7024396-806|BRACKET, CONNECTOR|AU|AD2|AE02|ABP3-2304|Aluminum Alloy 2024
7024417-902|HEATSINK|B00|B00|AE02|BMS7-26|Aluminum Alloy 2024
7024439-806|PLATE, FRONT POWER SUPPLY|A|AL|AE02|AMS4928|Titanium Alloy Ti-6Al-4V
7025388-805|BRACKET, CONNECTOR|Z01|E00|AE02|ABP3-2101|Aluminum Alloy 7075
7026211-901|HEAT SINK|K|E|AE02|BMS7-430|Inconel 718 Nickel Alloy
7026384-1|HEATSINK, P2|S|BA|AE02|BMS7-26|Aluminum Alloy 2024
7027203-901|POST|E02|AP1|AE02|BMS7-304|Aluminum Alloy 7075
7027204-902|POST|AS|J|AE02|BMS7-304|Aluminum Alloy 7075
7027205-901|POST|U|W|AE02|BMS7-304|Aluminum Alloy 7075
7027608-806|BRACKET, CONNECTOR|AE|C01|AE02|AMS5643|Stainless Steel 321
7029052-901|STIFFENER|AA|BK|AE02|ABP3-4201|Titanium Alloy Plate
7029052-902|STIFFENER|BH|N/A|AE02|BMS7-331|Titanium Alloy 6AL-4V
7035672-901|HEATSINK, PENTIUM M|AL|AC2|AE02|BMS7-304|Aluminum Alloy 7075
7035673-901|HEATSINK, PENTIUM M, CMC|S02|AD|AE02|BMS7-331|Titanium Alloy 6AL-4V
7035723-901|BRACKET, HEATSINK|AP1|M01|AE02|ABP3-2101|Aluminum Alloy 7075
7036503-901|STANDOFF|AL|H|AE02|BMS7-304|Aluminum Alloy 7075
7510193-901|COVER, MACHINED|W|BH|AE02|ABP3-4001|Titanium Alloy Ti-6Al-4V
7510196-902|HOUSING, DME XMTR|Z|J|AE02|ABP3-4201|Titanium Alloy Plate
7510951-902|HOUSING, TRANSMITTER MODULE|C01|AH|AE02|AMS5662|Inconel 718 Nickel Alloy
7511932-902|HEAT SINK (3 COMP)|AL|G02|AE02|ABP3-4201|Titanium Alloy Plate
7511933-902|HEAT SINK (2 COMP)|AC2|Y|AE02|ABP3-2101|Aluminum Alloy 7075
7511934-902|HEAT SINK (1 COMP)|L|E01|AE02|ABP3-2304|Aluminum Alloy 2024
7511952-901|HEAT SINK|AJ|A|AE02|BMS7-430|Inconel 718 Nickel Alloy
7517487|HOUSING, RECEIVER HOG OUT|L|AM|AE02|ABP3-7101|15-5PH Stainless Steel
60000847|COVER|BD|AD|AE03|ABP3-7101|15-5PH Stainless Steel
7023478-901|LATCH|U01|C01|AE03|BMS7-380|Stainless Steel 15-5PH
7023479|SHAFT, PIVOT-LATCH|R|M|AE03|BMS7-430|Inconel 718 Nickel Alloy
7024767|PLATE, NUT|W01|D|AE03|ABP3-2304|Aluminum Alloy 2024
7024768|PLATE, NUT|BH|G|AE03|ABP3-4001|Titanium Alloy Ti-6Al-4V
7026616-1|SHAFT, PIVOT|U01|U01|AE03|ABP3-7101|15-5PH Stainless Steel
7026616-2|SHAFT, PIVOT|BH|W|AE03|BMS7-26|Aluminum Alloy 2024
7032436|PLATE, MOUNTING - MOTHEBOARD|M01|A|AE03|BMS7-331|Titanium Alloy 6AL-4V
7036392-901|PLATE, REAR|B01|B00|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036392-902|PLATE, REAR|S02|M01|AE03|AMS5643|Stainless Steel 321
7036393-901|COVER, EMI|C|AE|AE03|BMS7-26|Aluminum Alloy 2024
7036395-901|BLOCK, HEATSINK|M|S01|AE03|BMS7-26|Aluminum Alloy 2024
7036396|STRIP, HEATSINK|AK|BK|AE03|AMS5643|Stainless Steel 321
7036399-902|HEATSINK, M9|AD|C|AE03|ABP3-4201|Titanium Alloy Plate
7036401|PLATE, FAN|N|AP1|AE03|ABP3-2304|Aluminum Alloy 2024
7036402-902|HEATSINK, PENTIUM M|F02|AQ|AE03|BMS7-304|Aluminum Alloy 7075
7036403-1|SPREADER, HEAT|AB|AN1|AE03|BMS7-380|Stainless Steel 15-5PH
7036403-2|SPREADER, HEAT|D|P|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036403-3|SPREADER, HEAT|AP|S01|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036468-901|PLATE, BULKHEAD|D02|Q|AE03|BMS7-26|Aluminum Alloy 2024
7036472|COVER, CALIBRATION|D00|AG1|AE03|BMS7-26|Aluminum Alloy 2024
7036473|FRAME, LCD|AG1|W01|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036474|COVER, TEMP SENSOR|D02|B00|AE03|ABP3-2101|Aluminum Alloy 7075
612-0290-005|HEATSINK, 486|C00|L01|AE04|ABP3-4001|Titanium Alloy Ti-6Al-4V
612-0290-006|HEATSINK, 486|AU|AV|AE04|AMS5643|Stainless Steel 321
612-0291-001|HEATSINK, SPACER|W|AQ|AE04|AMS4928|Titanium Alloy Ti-6Al-4V
612-0291-002|HEATSINK, SPACER|AC2|AG|AE04|ABP3-4001|Titanium Alloy Ti-6Al-4V
612-0291-004|HEATSINK, SPACER|H01|AS|AE04|AMS4928|Titanium Alloy Ti-6Al-4V
612-0296-001|HEATSINK|C01|AH|AE04|ABP3-2101|Aluminum Alloy 7075
612-0307-001|HEATSINK, 486|S01|E02|AE04|ABP3-7101|15-5PH Stainless Steel
657-0145-001|HANDLE, FRONT INTERCONNECT|AA|M|AE04|AMS5662|Inconel 718 Nickel Alloy
S2711304320200|SCREW|A|F01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745006420000|BUTTSTRAP LOWER ASSY|AB|AJ|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745006420100|BUTTSTRAP LOWER ASSY|AK|N|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012120001|PANEL OUTBD|AN|N/A|AG01|BMS7-380|Stainless Steel 15-5PH
V5745012120101|PANEL OUTBD|BD|AS|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745012700000|EQUIPPED BUTTSTRAP|AS|AC|AG01|ABP3-7101|15-5PH Stainless Steel
V5745012700100|EQUIPPED BUTTSTRAP|F02|M|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012700200|EQUIPPED BUTTSTRAP (LH)|T01|E|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012700300|EQUIPPED BUTTSTRAP (RH)|J|B|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745013120001|RIBLET 1, D-NOSE|E02|A00|AG01|BMS7-26|Aluminum Alloy 2024
V5745013120101|RIBLET 1, D-NOSE|E00|P|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745013220001|RIBLET 2, D-NOSE|B01|F|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013220101|RIBLET 2, D-NOSE|J|W01|AG01|BMS7-304|Aluminum Alloy 7075
V5745013320001|RIBLET 3, D-NOSE|Q|T01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013320101|RIBLET 3, D-NOSE|M|AE|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013420001|RIBLET 4, D-NOSE|AP|K|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013420101|RIBLET 4, D-NOSE|AB|G02|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013720001|BRACKET PANEL SUPPORT|AA|BB|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013720101|BRACKET PANEL SUPPORT|F|BG|AG01|BMS7-304|Aluminum Alloy 7075
V5745013800001|DRIVE SHAFT BRKT ASSY|BK|S02|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745013800101|DRIVE SHAFT BRKT ASSY|B00|C00|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745013820001|DRIVE SHAFT BRACKET LH|BG|E02|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013820101|DRIVE SHAFT BRACKET RH|AU|E01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013820200|DRIVE SHAFT BRKT|AN1|M01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745013820300|DRIVE SHAFT BRKT|AR|BB|AG01|BMS7-380|Stainless Steel 15-5PH
V5745014020001|UPPER BUTTSTRAP 1 LH|AJ|AP1|AG01|ABP3-2101|Aluminum Alloy 7075
V5745014020101|UPPER BUTTSTRAP 1 RH|J01|W|AG01|BMS7-304|Aluminum Alloy 7075
V5745014120001|UPPER BUTTSTRAP 2 LH|AQ|E01|AG01|BMS7-380|Stainless Steel 15-5PH
V5745014120101|UPPER BUTTSTRAP 2 RH|BB|BK|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745014320001|UPPER BUTTSTRAP 3 LH|T|AE|AG01|BMS7-304|Aluminum Alloy 7075
V5745014320101|UPPER BUTTSTRAP 3 RH|Y|AP1|AG01|BMS7-304|Aluminum Alloy 7075
V5745014420001|UPPER BUTTSTRAP 4 LH|AN|W|AG01|BMS7-304|Aluminum Alloy 7075
V5745014420101|UPPER BUTTSTRAP 4 RH|A00|BB|AG01|ABP3-2304|Aluminum Alloy 2024
V5745014520001|UPPER BUTTSTRAP 5 LH|AV|E|AG01|ABP3-4201|Titanium Alloy Plate
V5745014520101|UPPER BUTTSTRAP 5 RH|A00|E|AG01|BMS7-304|Aluminum Alloy 7075
V5745014620001|UPPER BUTTSTRAP 6 LH|B01|A|AG01|BMS7-26|Aluminum Alloy 2024
V5745014620101|UPPER BUTTSTRAP 6 RH|AK|N/A|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745014720001|UPPER BUTTSTRAP 7 LH|AB1|AM|AG01|BMS7-304|Aluminum Alloy 7075
V5745014720101|UPPER BUTTSTRAP 7 RH|D03|E02|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745014820001|UPPER BUTTSTRAP 8 LH|AN|T01|AG01|AMS5643|Stainless Steel 321
V5745014820101|UPPER BUTTSTRAP 8 RH|AR|BG|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745014920000|UPPER BUTTSTRAP 9|U02|B00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745014920100|UPPER BUTTSTRAP 9|N/A|H|AG01|AMS5643|Stainless Steel 321
V5745015000000|BUTTSTRAP 1 LWR PFS|AJ|L|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015000100|BUTTSTRAP 1 LWR PFS|P|G|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015000200|BUTTSTRAP 1 LWR PFS|AC|E02|AG01|ABP3-4201|Titanium Alloy Plate
V5745015000300|BUTTSTRAP 1 LWR PFS|Q|Q|AG01|AMS5643|Stainless Steel 321
V5745015020000|BUTTSTRAP 1 LWR PFS|P|AB1|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015020100|BUTTSTRAP 1 LWR PFS|AG1|BG|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745015020200|BUTTSTRAP 1 LWR PFS|AK|J|AG01|BMS7-380|Stainless Steel 15-5PH
V5745015020201|BUTTSTRAP 1 LWR PFS|L01|AV|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015020300|BUTTSTRAP 1 LWR PFS|U01|F01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015020301|BUTTSTRAP 1 LWR PFS|Z|E|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015120000|BUTTSTRAP 2 LWR PFS|AJ|G|AG01|BMS7-304|Aluminum Alloy 7075
V5745015120100|BUTTSTRAP 2 LWR PFS|H|AM|AG01|AMS5643|Stainless Steel 321
V5745015120200|BUTTSTRAP 2 LWR PFS|AH|F02|AG01|BMS7-26|Aluminum Alloy 2024
V5745015120300|BUTTSTRAP 2 LWR PFS|AU|AC2|AG01|AMS5643|Stainless Steel 321
V5745015220000|BUTTSTRAP 3 LWR PFS|F01|BD|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015220100|BUTTSTRAP 3 LWR PFS|AG1|BK|AG01|ABP3-2101|Aluminum Alloy 7075
V5745015220200|BUTTSTRAP 3 LWR PFS|C|F|AG01|ABP3-7101|15-5PH Stainless Steel
V5745015220300|BUTTSTRAP 3 LWR PFS|S02|Z01|AG01|BMS7-304|Aluminum Alloy 7075
V5745015320000|BUTTSTRAP 4 LWR PFS|G|AD|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745015320100|BUTTSTRAP 4 LWR PFS|AD|A|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015320200|BUTTSTRAP 4 LWR PFS|AM|T01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015320300|BUTTSTRAP 4 LWR PFS|AA|C01|AG01|ABP3-4201|Titanium Alloy Plate
V5745035620001|BRACKET, SHEAR|BH|Z01|AG01|BMS7-304|Aluminum Alloy 7075
V5745035620101|BRACKET, SHEAR|AQ|U01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745035720001|BRACKET SHEAR|D02|U|AG01|ABP3-2304|Aluminum Alloy 2024
V5745094820200|BUTTSTRAP 1 REFUEL|G02|C00|AG01|BMS7-26|Aluminum Alloy 2024
V5745094820300|BUTTSTRAP 1 REFUEL|AP1|E00|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745094920000|BUTTSTRAP 2 REFUEL|N|W|AG01|ABP3-7101|15-5PH Stainless Steel
V5745095020200|BUTTSTRAP 3 REFUEL|E00|G02|AG01|ABP3-7101|15-5PH Stainless Steel
V5745095020300|BUTTSTRAP 3 REFUEL|Z|AP1|AG01|BMS7-26|Aluminum Alloy 2024
V5745098120001|STRAP - SLAT TRACK RIB|AW|E01|AG01|BMS7-26|Aluminum Alloy 2024
V5745139620001|PLATE FUNK|AA|C|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745139620101|PLATE FUNK|A|AM|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745154920001|STRAP - SLAT TRACK RIB|G02|BG|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745156420001|STRAP - SLAT TRACK RIB|T01|S02|AG01|AMS5643|Stainless Steel 321
V5745160220001|POST-RIB2-SPAR-FRONT|Y|S01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160220101|POST-RIB2-SPAR-FRONT|E02|L01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160320001|POST-RIB3-SPAR-FRONT|C00|Z|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160320101|POST-RIB3-SPAR-FRONT|A00|A|AG01|BMS7-26|Aluminum Alloy 2024
V5745160420001|POST-RIB4-SPAR-FRONT|AV|AD1|AG01|BMS7-304|Aluminum Alloy 7075
V5745160420101|POST-RIB4-SPAR-FRONT|C01|BD|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160520001|POST-RIB5-SPAR-FRONT|E02|AN1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160520101|POST-RIB5-SPAR-FRONT|AU|AC2|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160620001|POST-RIB6-SPAR-FRONT|V01|B|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160620101|POST-RIB6-SPAR-FRONT|BH|AT|AG01|ABP3-2304|Aluminum Alloy 2024
V5745161120001|POST-RIB8-SPAR-FRONT|AR|AP|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745161120101|POST-RIB8-SPAR-FRONT|AG1|M01|AG01|BMS7-430|Inconel 718 Nickel Alloy
