Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
271-127-111-022K|FRONT COVER|G|E|AD02|BMS7-430|Inconel 718 Nickel Alloy
271-127-151-022K|REAR COVER|AD1|D03|AD02|ABP3-4001|Titanium Alloy Ti-6Al-4V
289-101-102-012|DISTANZHALTER OBRM|AM|BD|AD02|ABP3-4201|Titanium Alloy Plate
444-310-053-101|ABSCHLUSSHÜLSE CE 310|AU|C00|AD02|BMS7-331|Titanium Alloy 6AL-4V
444-311-102-011|PRINTHALTER CE 311|D|AG1|AD02|AMS4928|Titanium Alloy Ti-6Al-4V
800-151-002-011|HALTEPLATTE PA 151|AB1|R|AD02|BMS7-26|Aluminum Alloy 2024
922-119-001-011|ABSCHLUSSHÜLSE|AG1|AQ|AD02|BMS7-26|Aluminum Alloy 2024
957.12.07.8100|STIFFENER HVM/BFG|BA|E|AD02|BMS7-380|Stainless Steel 15-5PH
957.12.07.8105|STIFFENER|AG1|N|AD02|BMS7-331|Titanium Alloy 6AL-4V
957.12.07.8205|STIFFENER FOR SHOCK MOUNTS|S02|H01|AD02|BMS7-304|Aluminum Alloy 7075
5010626|HOUSING, SPRING|D02|L01|AD03|BMS7-304|Aluminum Alloy 7075
5012320|PISTON|S01|AT|AD03|BMS7-26|Aluminum Alloy 2024
5012358|INSULATOR, PISTON|S01|H01|AD03|ABP3-4001|Titanium Alloy Ti-6Al-4V
5013723|HOUSING, SPRING|AB|S01|AD03|ABP3-2101|Aluminum Alloy 7075
6004656|CAP, DRIVE CONTROL|J|AE|AD03|ABP3-2304|Aluminum Alloy 2024
6006969|GUIDE, PLUNGER|AM|AD|AD03|ABP3-4001|Titanium Alloy Ti-6Al-4V
6007091|PLUG|BG|BG|AD03|BMS7-430|Inconel 718 Nickel Alloy
6007136-1|ADAPTER, CONNECTOR|W|P|AD03|BMS7-26|Aluminum Alloy 2024
6007155|SLEEVE, GUIDE|BD|AH|AD03|AMS5643|Stainless Steel 321
6007159-2|LEVER|E00|L01|AD03|ABP3-2304|Aluminum Alloy 2024
90005146|PISTON|T|S01|AD03|ABP3-4201|Titanium Alloy Plate
90005433|INSULATOR, PISTON|F02|U01|AD03|AMS4928|Titanium Alloy Ti-6Al-4V
90005452|DRIVE CAP|W|W|AD03|ABP3-2304|Aluminum Alloy 2024
90006033|PISTON|P|AC2|AD03|BMS7-331|Titanium Alloy 6AL-4V
90006034|HOUSING, SPRING|E|AP1|AD03|AMS5662|Inconel 718 Nickel Alloy
90006067-1|SLEEVE, CYLINDER|G02|N/A|AD03|BMS7-380|Stainless Steel 15-5PH
90006068|PISTON|BG|Q|AD03|BMS7-331|Titanium Alloy 6AL-4V
90006084|INSULATOR, METAL|N/A|F01|AD03|BMS7-304|Aluminum Alloy 7075
90006321|RETAINER, PIN, BRAKE RETURN|Q|AD2|AD03|AMS4928|Titanium Alloy Ti-6Al-4V
90007472|VALVE, BLEEDER|AK|L|AD03|BMS7-304|Aluminum Alloy 7075
4053549-901|BRACKET, ELECTRICAL EQUIPMENT|E01|E|AE01|BMS7-26|Aluminum Alloy 2024
4073789-901|HOUSING, MECHANICAL|AE|AP1|AE01|ABP3-4001|Titanium Alloy Ti-6Al-4V
4081905-901|FRAME ASSY, SUPP. CORE PROC.|U01|AW|AE01|ABP3-2304|Aluminum Alloy 2024
4081905-902|FRAME ASSY, SUPP. CORE PROC.|P|Z01|AE01|AMS5643|Stainless Steel 321
4091725-101|CHASSIS|Y|K|AE01|BMS7-430|Inconel 718 Nickel Alloy
4091725-102|CHASSIS|L01|L01|AE01|ABP3-2304|Aluminum Alloy 2024
7022274|SPACER, SWITCH|AV|AR|AE01|BMS7-304|Aluminum Alloy 7075
7022888-901|GEAR BOX, ELEVATION|AJ|B01|AE01|BMS7-26|Aluminum Alloy 2024
7022889-901|BRACKET, GEAR BOX|B00|AK|AE01|AMS5662|Inconel 718 Nickel Alloy
7024430-805|BRACKET, CONNECTOR|W|BA|AE01|AMS4928|Titanium Alloy Ti-6Al-4V
7024430-806|BRACKET, CONNECTOR|D03|S|AE01|BMS7-380|Stainless Steel 15-5PH
7024432-805|BRACKET, CONNECTOR|AS|AU|AE01|AMS5662|Inconel 718 Nickel Alloy
7024435-805|BRACKET, CONNECTOR|BD|AA|AE01|BMS7-26|Aluminum Alloy 2024
7024435-807|BRACKET, CONNECTOR|S|AD|AE01|BMS7-430|Inconel 718 Nickel Alloy
7024435-808|BRACKET, CONNECTOR|N|B|AE01|ABP3-4201|Titanium Alloy Plate
7025390-805|BRACKET, CONNECTOR|D|A|AE01|BMS7-430|Inconel 718 Nickel Alloy
7028157-903|BRACKET, SUPPORT|AM|G02|AE01|BMS7-304|Aluminum Alloy 7075
7029050-805|BRACKET ASSY, CONNECTOR|AK|F01|AE01|BMS7-430|Inconel 718 Nickel Alloy
7029788-904|BRACKET, CONNECTOR FAN SIDE|AG|AT|AE01|BMS7-26|Aluminum Alloy 2024
7031341-805|BRACKET, CONNECTOR|T|G02|AE01|BMS7-304|Aluminum Alloy 7075
7031937|STAND - OFF, KEYED|AC2|C01|AE01|AMS5643|Stainless Steel 321
7032416|BRACKET, MOUNTING - BACKLIGHT|AE|AT|AE01|ABP3-4001|Titanium Alloy Ti-6Al-4V
7032417|BRACKET, MOUNTING - LCD|S|BB|AE01|BMS7-331|Titanium Alloy 6AL-4V
7035146|JACKSCREW|L01|D03|AE01|BMS7-304|Aluminum Alloy 7075
7035147|COLLAR|AK|N/A|AE01|BMS7-304|Aluminum Alloy 7075
047-50483-0501|HEATSINK, LEFT SIDE|AD1|P|AE02|ABP3-4001|Titanium Alloy Ti-6Al-4V
047-50519-0501|HEATSINK, LEFT SIDE|Q|AP1|AE02|ABP3-4201|Titanium Alloy Plate
047-50520-0501|HEATSINK, RIGHT SIDE|AE|A00|AE02|AMS4928|Titanium Alloy Ti-6Al-4V
047-50547-0501|HEATSINK, RIGHT SIDE|P|BG|AE02|ABP3-4201|Titanium Alloy Plate
7024396-805|BRACKET, CONNECTOR|AG1|AJ|AE02|ABP3-2101|Aluminum Alloy 7075
7024396-806|BRACKET, CONNECTOR|N|B|AE02|ABP3-2304|Aluminum Alloy 2024
7024417-902|HEATSINK|D03|J|AE02|BMS7-26|Aluminum Alloy 2024
7024439-806|PLATE, FRONT POWER SUPPLY|L|BB|AE02|AMS4928|Titanium Alloy Ti-6Al-4V
7025388-805|BRACKET, CONNECTOR|AT|F01|AE02|ABP3-2101|Aluminum Alloy 7075
7026211-901|HEAT SINK|BK|U01|AE02|BMS7-430|Inconel 718 Nickel Alloy
7026384-1|HEATSINK, P2|C|E|AE02|BMS7-26|Aluminum Alloy 2024
7027203-901|POST|E|C|AE02|BMS7-304|Aluminum Alloy 7075
7027204-902|POST|D01|N|AE02|BMS7-304|Aluminum Alloy 7075
7027205-901|POST|F01|AB|AE02|BMS7-304|Aluminum Alloy 7075
7027608-806|BRACKET, CONNECTOR|AS|AJ|AE02|AMS5643|Stainless Steel 321
7029052-901|STIFFENER|P|A00|AE02|ABP3-4201|Titanium Alloy Plate
7029052-902|STIFFENER|L01|R|AE02|BMS7-331|Titanium Alloy 6AL-4V
7035672-901|HEATSINK, PENTIUM M|D|F02|AE02|BMS7-304|Aluminum Alloy 7075
7035673-901|HEATSINK, PENTIUM M, CMC|AD|AE|AE02|BMS7-331|Titanium Alloy 6AL-4V
7035723-901|BRACKET, HEATSINK|BB|V01|AE02|ABP3-2101|Aluminum Alloy 7075
7036503-901|STANDOFF|AN1|B01|AE02|BMS7-304|Aluminum Alloy 7075
7510193-901|COVER, MACHINED|AL|N|AE02|ABP3-4001|Titanium Alloy Ti-6Al-4V
7510196-902|HOUSING, DME XMTR|AC2|D03|AE02|ABP3-4201|Titanium Alloy Plate
7510951-902|HOUSING, TRANSMITTER MODULE|AP|K|AE02|AMS5662|Inconel 718 Nickel Alloy
7511932-902|HEAT SINK (3 COMP)|AN|Z|AE02|ABP3-4201|Titanium Alloy Plate
7511933-902|HEAT SINK (2 COMP)|AM|M01|AE02|ABP3-2101|Aluminum Alloy 7075
7511934-902|HEAT SINK (1 COMP)|D02|B|AE02|ABP3-2304|Aluminum Alloy 2024
7511952-901|HEAT SINK|AA|AQ|AE02|BMS7-430|Inconel 718 Nickel Alloy
7517487|HOUSING, RECEIVER HOG OUT|AH|AE|AE02|ABP3-7101|15-5PH Stainless Steel
60000847|COVER|T01|AU|AE03|ABP3-7101|15-5PH Stainless Steel
7023478-901|LATCH|AW|C01|AE03|BMS7-380|Stainless Steel 15-5PH
7023479|SHAFT, PIVOT-LATCH|AD|K|AE03|BMS7-430|Inconel 718 Nickel Alloy
7024767|PLATE, NUT|C|B01|AE03|ABP3-2304|Aluminum Alloy 2024
7024768|PLATE, NUT|AN|A00|AE03|ABP3-4001|Titanium Alloy Ti-6Al-4V
7026616-1|SHAFT, PIVOT|AJ|U|AE03|ABP3-7101|15-5PH Stainless Steel
7026616-2|SHAFT, PIVOT|E|W|AE03|BMS7-26|Aluminum Alloy 2024
7032436|PLATE, MOUNTING - MOTHEBOARD|AR|W|AE03|BMS7-331|Titanium Alloy 6AL-4V
7036392-901|PLATE, REAR|AC2|C00|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036392-902|PLATE, REAR|BH|BG|AE03|AMS5643|Stainless Steel 321
7036393-901|COVER, EMI|W|E00|AE03|BMS7-26|Aluminum Alloy 2024
7036395-901|BLOCK, HEATSINK|BH|AC|AE03|BMS7-26|Aluminum Alloy 2024
7036396|STRIP, HEATSINK|D03|D|AE03|AMS5643|Stainless Steel 321
7036399-902|HEATSINK, M9|BG|W01|AE03|ABP3-4201|Titanium Alloy Plate
7036401|PLATE, FAN|D02|F01|AE03|ABP3-2304|Aluminum Alloy 2024
7036402-902|HEATSINK, PENTIUM M|N/A|H01|AE03|BMS7-304|Aluminum Alloy 7075
7036403-1|SPREADER, HEAT|BB|BA|AE03|BMS7-380|Stainless Steel 15-5PH
7036403-2|SPREADER, HEAT|AR|B00|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036403-3|SPREADER, HEAT|E01|BG|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036468-901|PLATE, BULKHEAD|F|AG|AE03|BMS7-26|Aluminum Alloy 2024
7036472|COVER, CALIBRATION|AL|U02|AE03|BMS7-26|Aluminum Alloy 2024
7036473|FRAME, LCD|E|E01|AE03|AMS4928|Titanium Alloy Ti-6Al-4V
7036474|COVER, TEMP SENSOR|AB|T01|AE03|ABP3-2101|Aluminum Alloy 7075
612-0290-005|HEATSINK, 486|F|AC|AE04|ABP3-4001|Titanium Alloy Ti-6Al-4V
612-0290-006|HEATSINK, 486|AD2|B01|AE04|AMS5643|Stainless Steel 321
612-0291-001|HEATSINK, SPACER|AQ|AT|AE04|AMS4928|Titanium Alloy Ti-6Al-4V
612-0291-002|HEATSINK, SPACER|Z|U01|AE04|ABP3-4001|Titanium Alloy Ti-6Al-4V
612-0291-004|HEATSINK, SPACER|BD|A00|AE04|AMS4928|Titanium Alloy Ti-6Al-4V
612-0296-001|HEATSINK|M01|AC2|AE04|ABP3-2101|Aluminum Alloy 7075
612-0307-001|HEATSINK, 486|U01|Z|AE04|ABP3-7101|15-5PH Stainless Steel
657-0145-001|HANDLE, FRONT INTERCONNECT|N/A|BB|AE04|AMS5662|Inconel 718 Nickel Alloy
S2711304320200|SCREW|AJ|J01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745006420000|BUTTSTRAP LOWER ASSY|AG1|W|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745006420100|BUTTSTRAP LOWER ASSY|S01|B00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012120001|PANEL OUTBD|AT|AA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745012120101|PANEL OUTBD|G|T|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745012700000|EQUIPPED BUTTSTRAP|BG|U02|AG01|ABP3-7101|15-5PH Stainless Steel
V5745012700100|EQUIPPED BUTTSTRAP|AJ|R|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012700200|EQUIPPED BUTTSTRAP (LH)|D00|F|AG01|ABP3-2101|Aluminum Alloy 7075
V5745012700300|EQUIPPED BUTTSTRAP (RH)|S|Z|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745013120001|RIBLET 1, D-NOSE|C01|F02|AG01|BMS7-26|Aluminum Alloy 2024
V5745013120101|RIBLET 1, D-NOSE|AK|C00|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745013220001|RIBLET 2, D-NOSE|R|P|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013220101|RIBLET 2, D-NOSE|AB1|AQ|AG01|BMS7-304|Aluminum Alloy 7075
V5745013320001|RIBLET 3, D-NOSE|E02|G|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013320101|RIBLET 3, D-NOSE|S02|BH|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013420001|RIBLET 4, D-NOSE|S|R|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013420101|RIBLET 4, D-NOSE|AR|C00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013720001|BRACKET PANEL SUPPORT|N|BG|AG01|ABP3-2101|Aluminum Alloy 7075
V5745013720101|BRACKET PANEL SUPPORT|AL|D00|AG01|BMS7-304|Aluminum Alloy 7075
V5745013800001|DRIVE SHAFT BRKT ASSY|B01|AP1|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745013800101|DRIVE SHAFT BRKT ASSY|T01|L01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745013820001|DRIVE SHAFT BRACKET LH|S02|V01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013820101|DRIVE SHAFT BRACKET RH|S02|AB|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745013820200|DRIVE SHAFT BRKT|BG|AC2|AG01|ABP3-7101|15-5PH Stainless Steel
V5745013820300|DRIVE SHAFT BRKT|AC2|AA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745014020001|UPPER BUTTSTRAP 1 LH|W01|J01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745014020101|UPPER BUTTSTRAP 1 RH|AD|E|AG01|BMS7-304|Aluminum Alloy 7075
V5745014120001|UPPER BUTTSTRAP 2 LH|F01|U01|AG01|BMS7-380|Stainless Steel 15-5PH
V5745014120101|UPPER BUTTSTRAP 2 RH|M01|L|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745014320001|UPPER BUTTSTRAP 3 LH|H01|W01|AG01|BMS7-304|Aluminum Alloy 7075
V5745014320101|UPPER BUTTSTRAP 3 RH|G02|B|AG01|BMS7-304|Aluminum Alloy 7075
V5745014420001|UPPER BUTTSTRAP 4 LH|AD1|N/A|AG01|BMS7-304|Aluminum Alloy 7075
V5745014420101|UPPER BUTTSTRAP 4 RH|AU|B00|AG01|ABP3-2304|Aluminum Alloy 2024
V5745014520001|UPPER BUTTSTRAP 5 LH|M01|L01|AG01|ABP3-4201|Titanium Alloy Plate
V5745014520101|UPPER BUTTSTRAP 5 RH|E02|AJ|AG01|BMS7-304|Aluminum Alloy 7075
V5745014620001|UPPER BUTTSTRAP 6 LH|AJ|C00|AG01|BMS7-26|Aluminum Alloy 2024
V5745014620101|UPPER BUTTSTRAP 6 RH|F|AV|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745014720001|UPPER BUTTSTRAP 7 LH|J01|BD|AG01|BMS7-304|Aluminum Alloy 7075
V5745014720101|UPPER BUTTSTRAP 7 RH|M01|C|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745014820001|UPPER BUTTSTRAP 8 LH|F|S02|AG01|AMS5643|Stainless Steel 321
V5745014820101|UPPER BUTTSTRAP 8 RH|U02|AN|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745014920000|UPPER BUTTSTRAP 9|J|AD|AG01|ABP3-2101|Aluminum Alloy 7075
V5745014920100|UPPER BUTTSTRAP 9|U|B|AG01|AMS5643|Stainless Steel 321
V5745015000000|BUTTSTRAP 1 LWR PFS|Z01|A|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015000100|BUTTSTRAP 1 LWR PFS|E02|AW|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015000200|BUTTSTRAP 1 LWR PFS|AA|Z01|AG01|ABP3-4201|Titanium Alloy Plate
V5745015000300|BUTTSTRAP 1 LWR PFS|S02|H01|AG01|AMS5643|Stainless Steel 321
V5745015020000|BUTTSTRAP 1 LWR PFS|C01|A00|AG01|ABP3-2304|Aluminum Alloy 2024
V5745015020100|BUTTSTRAP 1 LWR PFS|AK|J|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745015020200|BUTTSTRAP 1 LWR PFS|B|S02|AG01|BMS7-380|Stainless Steel 15-5PH
V5745015020201|BUTTSTRAP 1 LWR PFS|Z|BH|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015020300|BUTTSTRAP 1 LWR PFS|AS|AD2|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015020301|BUTTSTRAP 1 LWR PFS|AR|C01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015120000|BUTTSTRAP 2 LWR PFS|AL|T01|AG01|BMS7-304|Aluminum Alloy 7075
V5745015120100|BUTTSTRAP 2 LWR PFS|AR|B|AG01|AMS5643|Stainless Steel 321
V5745015120200|BUTTSTRAP 2 LWR PFS|G|H|AG01|BMS7-26|Aluminum Alloy 2024
V5745015120300|BUTTSTRAP 2 LWR PFS|B00|AR|AG01|AMS5643|Stainless Steel 321
V5745015220000|BUTTSTRAP 3 LWR PFS|D00|BB|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745015220100|BUTTSTRAP 3 LWR PFS|AJ|AV|AG01|ABP3-2101|Aluminum Alloy 7075
V5745015220200|BUTTSTRAP 3 LWR PFS|BG|A|AG01|ABP3-7101|15-5PH Stainless Steel
V5745015220300|BUTTSTRAP 3 LWR PFS|AN1|D01|AG01|BMS7-304|Aluminum Alloy 7075
V5745015320000|BUTTSTRAP 4 LWR PFS|L01|C|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745015320100|BUTTSTRAP 4 LWR PFS|P|J01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015320200|BUTTSTRAP 4 LWR PFS|P|H01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745015320300|BUTTSTRAP 4 LWR PFS|C01|K|AG01|ABP3-4201|Titanium Alloy Plate
V5745035620001|BRACKET, SHEAR|AC2|F|AG01|BMS7-304|Aluminum Alloy 7075
V5745035620101|BRACKET, SHEAR|C01|U|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745035720001|BRACKET SHEAR|AN1|D01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745094820200|BUTTSTRAP 1 REFUEL|E02|B|AG01|BMS7-26|Aluminum Alloy 2024
V5745094820300|BUTTSTRAP 1 REFUEL|W|W01|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745094920000|BUTTSTRAP 2 REFUEL|AN1|AU|AG01|ABP3-7101|15-5PH Stainless Steel
V5745095020200|BUTTSTRAP 3 REFUEL|AB1|AN|AG01|ABP3-7101|15-5PH Stainless Steel
V5745095020300|BUTTSTRAP 3 REFUEL|Y|C00|AG01|BMS7-26|Aluminum Alloy 2024
V5745098120001|STRAP - SLAT TRACK RIB|F02|C01|AG01|BMS7-26|Aluminum Alloy 2024
V5745139620001|PLATE FUNK|D01|AT|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745139620101|PLATE FUNK|Y|AW|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745154920001|STRAP - SLAT TRACK RIB|BB|L01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745156420001|STRAP - SLAT TRACK RIB|AN|Q|AG01|AMS5643|Stainless Steel 321
V5745160220001|POST-RIB2-SPAR-FRONT|AN|Z|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160220101|POST-RIB2-SPAR-FRONT|J01|S|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160320001|POST-RIB3-SPAR-FRONT|AQ|M01|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160320101|POST-RIB3-SPAR-FRONT|J01|T01|AG01|BMS7-26|Aluminum Alloy 2024
V5745160420001|POST-RIB4-SPAR-FRONT|AN1|T01|AG01|BMS7-304|Aluminum Alloy 7075
V5745160420101|POST-RIB4-SPAR-FRONT|AR|AD1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160520001|POST-RIB5-SPAR-FRONT|V01|AH|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160520101|POST-RIB5-SPAR-FRONT|Q|AU|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745160620001|POST-RIB6-SPAR-FRONT|E01|Z01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745160620101|POST-RIB6-SPAR-FRONT|A00|AP|AG01|ABP3-2304|Aluminum Alloy 2024
V5745161120001|POST-RIB8-SPAR-FRONT|AJ|Z01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745161120101|POST-RIB8-SPAR-FRONT|R|C|AG01|BMS7-430|Inconel 718 Nickel Alloy
